"study"	"pval"	"or"
"laml_tcga"	1	0
"blca_tcga"	0.529230769230769	0
"lgg_tcga"	0.104135746330428	3.29030313705451
"brca_tcga"	0.66199521666096	0.7905220355564
"cesc_tcga"	1	0.814243136400308
"coadread_tcga"	0.536737230252135	1.34721017396349
"gbm_tcga"	1	0
"hnsc_tcga"	0.233769297044229	2.19885720370016
"kirc_tcga"	0.490139357029211	1.6173147104401
"kirp_tcga"	1	0
"luad_tcga"	0.567336321035924	1.35443282026159
"lusc_tcga"	0.137213089401276	0.34336669399928
"ov_tcga"	0.672900867201674	0.464004244916456
"paad_tcga"	1	0
"prad_tcga"	1	0
"skcm_tcga"	1	0
"stad_tcga"	0.0220029441663077	2.29782746928354
"thca_tcga"	1	0
"ucec_tcga"	0.133860413401196	1.52428370500443
